keyword,frequency,cluster,intent,page_type,url,existing,action,priority,city
пирог кровли,2608,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасады домов фото,2603,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
монтаж мягкой кровли,2600,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
стоимость кровли,2597,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасад система,2596,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасад цена за м2,2580,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
навесной фасад,2574,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
термопанели для фасада,2573,Фасадные термопанели,commercial,category,/catalog/termopaneli-fasadnye,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайты сайдинга,2567,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
дом сайдингом фото,2564,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь какой,2555,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
какие фасады лучше,2555,Фасад дома — общий хаб (intent неопределён),informational,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
система кровли,2550,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
ограждение кровли,2546,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
мягкая кровля цена,2529,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
снаружи сайдинг,2521,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг гранд,2520,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
угол кровли,2506,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
конек кровли,2505,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
альта сайдинг,2502,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
кондиционер на фасаде,2497,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг официальный сайт,2494,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
гибка кровли,2490,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
сайдинг лайн,2476,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
варианты фасадов,2475,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь утеплитель 50 мм,2474,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
кровля кровельные,2472,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
утеплитель для фасада,2469,Утеплитель — общее,commercial,category,/catalog/uteplitel,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасад дуб,2457,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
свес кровли,2450,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
мягкая кровля купить,2449,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
кровля м,2448,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
гибкая кровля,2439,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
стили фасадов,2438,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг ю,2426,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг камень,2425,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг гранд лайн,2425,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
кровля здания,2418,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
сайдинг ю пласт,2408,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
пластиковый сайдинг,2403,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасадный кирпич технониколь,2395,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
материал для кровли,2386,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
сайдинг москва,2385,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг технониколь,2379,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
листы для кровли,2378,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасады снаружи,2365,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
гибкая керамика для фасадов,2358,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
материалы для фасада,2350,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь 50 цена,2343,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
эксплуатируемая кровля,2340,Эксплуатируемая кровля,commercial,category,/catalog/ekspluatiruemaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
размер кровли,2331,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
купить сайдинг для дома,2321,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
кабель для кровли,2303,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
купить сайдинг для наружной,2294,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
пвх кровля,2293,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
ветровая для кровли,2289,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
московская кровля,2284,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
какие фасады домов,2283,Фасад дома — общий хаб (intent неопределён),informational,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
панели для фасада дома,2280,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
оцинкованная кровля,2276,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
как обшить сайдингом,2265,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
греющая кровля,2262,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
укладка кровли,2251,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
мягкая черепица технониколь,2247,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь xps carbon,2244,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь кг,2231,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасады пластик,2225,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг хаус,2221,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
новые фасады,2210,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь подкладочный,2199,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
вентиляция кровли,2193,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
короед фасад,2191,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
ветровая планка для кровли,2187,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
ветровые планки для кровли,2187,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
карнизная кровля,2170,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь рулон,2169,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
замена кровли,2166,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
подкладочный ковер технониколь,2163,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг под цены,2162,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь 50 мм цена,2161,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
расчет кровли,2149,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
мастика битумная технониколь,2148,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
стеклянные фасады,2137,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
профлист для кровли,2133,Профнастил (кровля),commercial,category,/catalog/profnastil,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
сайдинг альта профиль,2131,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь эпп,2129,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
стекающая фасады,2128,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
самоклеющийся технониколь,2126,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
рулонная гидроизоляция технониколь,2125,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
обрешетка кровли,2123,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
виды кровли,2121,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасад крыши,2119,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь prof,2115,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь 01,2108,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
кровля частный,2094,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
лучший сайдинг,2093,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг размеры,2091,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
пленка для фасадов,2091,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
техноэласт технониколь,2062,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
технониколь для крыши,2060,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
отделка домов под сайдинг,2053,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
установка кровли,2050,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасад дома цена,2033,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фиброцементная панель для фасадов,2032,Фиброцементные панели,commercial,category,/catalog/fibrotsementnye-paneli,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
высота фасада,2027,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
выход на кровлю,2024,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь пвх,2017,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P1,
фасада дома снаружи,2014,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
кровля цена за м2,2012,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фасады стоит,2011,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
мягкий фасад,2011,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
обогрев кровли,2001,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
инструкция сайдинга,1992,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
воронка технониколь,1992,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
сайдинг м2,1991,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
кровля частного дома,1988,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
кровля своими руками,1987,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
корабельный сайдинг,1987,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
высота кровли,1981,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
кровля московская область,1981,Кровля — общий хаб (сравнение/сервис),geo+commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,да
стоит кровля,1971,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
виды фасадов,1963,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь 100 мм,1961,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
сайдинг для отделки купить,1957,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
пароизоляция технониколь,1934,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
мембранная кровля,1934,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
плантер технониколь,1931,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
штукатурка фасада дома,1926,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
калькулятор кровли,1916,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
фасады эмаль,1910,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
гидроизоляция фундамента технониколь,1903,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
серый сайдинг,1890,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
утеплитель для кровли,1888,Утеплитель — общее,commercial,category,/catalog/uteplitel,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
сайдинг область,1886,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
черный фасад,1879,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь каменная,1878,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
кровля в области,1876,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
технониколь коричневый,1871,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
технониколь альфа,1869,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
односкатная кровля,1866,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
фасад дома под,1863,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
замена фасадов,1863,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасадный сайдинг,1862,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
стоимость фасада,1862,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасады эггер,1857,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг для наружной отделки дома под,1853,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сайдинг блок хаус,1849,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь инструкция,1844,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
панели гранд лайн,1842,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
кровля гаража,1840,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
4 кровли,1838,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
купить сайдинг для наружной отделки,1838,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
кровля 2,1836,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
сайдинг дома снаружи,1835,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
каменная вата технониколь,1832,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
отделка металлическим сайдингом,1828,Сайдинг металлический,commercial,category,/catalog/metallicheskiy,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
праймер технониколь 01,1820,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
акриловый сайдинг,1816,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
слои кровли,1813,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
фасад своими руками,1803,Фасад дома — общий хаб (intent неопределён),informational,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
цвет фасада кухни,1801,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
гранд лайн купить,1792,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
пластиковые фасады,1791,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасады отдельно,1787,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
утепление кровли,1782,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
амк фасад,1781,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
технониколь carbon prof,1777,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P2,
панели под фасад,1777,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
средство для фасадов,1768,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
сколько стоит кровля,1768,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P2,
сетка для фасада,1763,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
фасады для мебели,1759,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P2,
